response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.1225,0,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,0.37375,-0.0275,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,-0.095,-0.0025,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,-0.35125,0.01125,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,0.1625,-0.0375,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,0.1625,-0.0375,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,-0.3575,-0.06875,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,0.35375,-0.04125,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,,,,,,
,0,0.1475,-0.0025,1,0,0,targImage,,,,,,,1.8888,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.13,0.00125,1,0,0,targImage,,,,,,,2.7776,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.095,-0.0275,1,0,0,targImage,,,,,,,1,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.3225,-0.01625,1,0,0,targImage,,,,,,,1,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.09875,-0.03125,1,0,0,targImage,,,,,,,1.2222,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.09875,-0.00125,1,0,0,targImage,,,,,,,1.4444,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.0975,-0.00125,1,0,0,targImage,,,,,,,1.4444,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,0.37125,0.0175,1,0,0,targImage,,,,,,,1.2222,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.06125,0.03625,1,0,0,targImage,,,,,,,2.3332,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.40125,0.0325,1,0,0,targImage,,,,,,,2.3332,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.39625,-0.08625,1,0,0,targImage,,,,,,,1.6666,-0.375,c,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.10625,-0.0625,1,0,0,targImage,,,,,,,1,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.13375,0.00375,1,0,0,targImage,,,,,,,2.3332,0.125,b,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.34875,0.0325,1,0,0,targImage,,,,,,,1.4444,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.3,-0.0025,1,0,0,targImage,,,,,,,2.111,0.375,n,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.345,0.0125,1,0,0,targImage,,,,,,,1.2222,-0.375,c,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,-0.0675,0.0375,1,0,0,targImage,,,,,,,2.5554,-0.125,v,s,001,2020-10-26_19h31.07.066,choiceRTT,3.1.3,60,1,0,40,29,1,39
