participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,b,0,4.976,,,,,,,,,3.876,v,12.107,,0,0,0,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,v,1,2.857,,,,,,,,,1.557,v,2.04,,0,1,1,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,c,1,2.962,,,,,,,,,1.462,v,5.497,,0,2,2,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,b,1,1.86,,,,,,,,,0.76,v,3.928,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,v,1,3.016,,,,,,,,,1.916,space,1.087,,0,4,4,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,v,1,2.36,,,,,,,,,0.86,space,0.69,,0,5,5,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,c,0,2.133,,,,,,,,,0.833,space,1.708,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,b,1,2.345,,,,,,,,,0.845,space,0.857,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
sa,001,2023-12-19_17h32.54.577,choiceRTT,2023.1.3,MacIntel,61.80469716,c,1,1.944,,,,,,,,,0.644,space,0.474,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
