response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.339814815,0.005555556,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,-0.312037037,0.039814815,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,0.082407407,0.005555556,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,0.308333333,0.039814815,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,-0.286111111,0.034259259,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,-0.130555556,0.007407407,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,-0.142592593,0.035185185,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,0.124074074,0.006481481,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,,,,,,
,0,-0.060185185,0.005555556,1,0,0,targImage,,,,,,,2.5554,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,0.134259259,-0.024074074,1,0,0,targImage,,,,,,,2.7776,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.121296296,-0.019444444,1,0,0,targImage,,,,,,,2.3332,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.098148148,-0.025,1,0,0,targImage,,,,,,,1.6666,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.413888889,-0.071296296,1,0,0,targImage,,,,,,,1.2222,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.330555556,0.010185185,1,0,0,targImage,,,,,,,1,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.190740741,-0.044444444,1,0,0,targImage,,,,,,,1.4444,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.312037037,0.047222222,1,0,0,targImage,,,,,,,1.8888,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.316666667,0.007407407,1,0,0,targImage,,,,,,,2.5554,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.106481481,0.006481481,1,0,0,targImage,,,,,,,1.2222,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.099074074,-0.042592593,1,0,0,targImage,,,,,,,2.5554,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.332407407,-0.038888889,1,0,0,targImage,,,,,,,1,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.360185185,-0.008333333,1,0,0,targImage,,,,,,,1.4444,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,-0.312037037,0.018518519,1,0,0,targImage,,,,,,,2.9998,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.305555556,-0.00462963,1,0,0,targImage,,,,,,,1.4444,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.07037037,-0.057407407,1,0,0,targImage,,,,,,,2.9998,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.384259259,-0.053703704,1,0,0,targImage,,,,,,,2.111,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.153703704,-0.1,1,0,0,targImage,,,,,,,1,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.107407407,-0.050925926,1,0,0,targImage,,,,,,,1.8888,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.40462963,-0.041666667,1,0,0,targImage,,,,,,,2.5554,0.375,n,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.188888889,0,1,0,0,targImage,,,,,,,1.4444,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.105555556,0.001851852,1,0,0,targImage,,,,,,,1,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.062962963,-0.005555556,1,0,0,targImage,,,,,,,1.8888,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.131481481,-0.000925926,1,0,0,targImage,,,,,,,2.111,-0.125,v,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.074074074,-0.006481481,1,0,0,targImage,,,,,,,2.3332,0.125,b,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.328703704,-0.005555556,1,0,0,targImage,,,,,,,1.6666,-0.375,c,samantha,001,2020-09-29_11h26.38.662,choiceRTT,3.1.3,60,1,0,40,12,1,39
