response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.393055527,-0.012962977,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,-0.356944437,-0.00462963,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,0.372222194,-0.03379631,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,0.150925954,-0.01666666,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,0.084722236,-0.028240734,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,-0.151851866,-0.021296289,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,-0.141666624,-0.002314815,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,-0.373148141,-0.001851859,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,,,,,,
,0,0.142129616,0.018981474,1,0,0,targImage,,,,,,,1.8888,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.125462991,-0.030092593,1,0,0,targImage,,,,,,,2.9998,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.37962963,-0.034259266,1,0,0,targImage,,,,,,,1.2222,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,0.361111111,-0.010185206,1,0,0,targImage,,,,,,,2.9998,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.362037023,0.018055563,1,0,0,targImage,,,,,,,1,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,0.390740712,0.008796303,1,0,0,targImage,,,,,,,1.8888,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.147222236,-0.008333347,1,0,0,targImage,,,,,,,2.5554,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,-0.102314772,0.010185171,1,0,0,targImage,,,,,,,1.8888,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.324074074,0.030555548,1,0,0,targImage,,,,,,,2.3332,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,24,1,39
,0,-0.14444443,-0.003703718,1,0,0,targImage,,,,,,,2.111,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,21,1,39
,0,0.376388974,-0.018981474,1,0,0,targImage,,,,,,,2.111,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,-0.148611069,-0.028703725,1,0,0,targImage,,,,,,,2.7776,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.321759259,-0.023148148,1,0,0,targImage,,,,,,,1.4444,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.371296353,-0.021296289,1,0,0,targImage,,,,,,,2.5554,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.114814829,-0.011111118,1,0,0,targImage,,,,,,,1.2222,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,0.112963005,0.056018511,1,0,0,targImage,,,,,,,2.3332,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.105092578,0.001388868,1,0,0,targImage,,,,,,,1.4444,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.078703704,0.010648127,1,0,0,targImage,,,,,,,1.6666,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,13,1,39
,0,0.373148176,-0.055555556,1,0,0,targImage,,,,,,,1,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.19212963,0.018055563,1,0,0,targImage,,,,,,,1.6666,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,-0.381018497,-0.043518526,1,0,0,targImage,,,,,,,1.8888,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.332870342,-0.020370377,1,0,0,targImage,,,,,,,2.7776,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.378240797,-0.014351845,1,0,0,targImage,,,,,,,2.3332,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.101388861,0.013888889,1,0,0,targImage,,,,,,,2.9998,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,0.162962949,0.043518526,1,0,0,targImage,,,,,,,1,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,-0.111111111,-0.018981474,1,0,0,targImage,,,,,,,2.5554,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.336111104,0,1,0,0,targImage,,,,,,,1.2222,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.456018519,-0.03379631,1,0,0,targImage,,,,,,,1.6666,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.384722215,-0.002777771,1,0,0,targImage,,,,,,,1.6666,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.180555556,0.037962949,1,0,0,targImage,,,,,,,2.7776,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,-0.13009255,0,1,0,0,targImage,,,,,,,1,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,0.084259245,0,1,0,0,targImage,,,,,,,2.111,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.355555534,0.013425933,1,0,0,targImage,,,,,,,2.9998,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.325925933,-0.000462956,1,0,0,targImage,,,,,,,2.111,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.433333362,-0.008796303,1,0,0,targImage,,,,,,,1.4444,0.375,n,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.145370413,0.000925912,1,0,0,targImage,,,,,,,1.2222,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.366666653,-0.03379631,1,0,0,targImage,,,,,,,2.7776,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.156481496,-0.005092586,1,0,0,targImage,,,,,,,1.4444,0.125,b,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.355092578,-0.024074095,1,0,0,targImage,,,,,,,2.5554,-0.375,c,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.087037051,0,1,0,0,targImage,,,,,,,2.3332,-0.125,v,sarah,001,2020-05-04_20h38.09.196,choiceRTT,3.1.3,60,1,0,40,25,1,39
