my.response.keys, my.response.corr, my.response.rt, my.mouseResp.x, my.mouseResp.y, my.mouseResp.leftButton, my.mouseResp.midButton, my.mouseResp.rightButton, my.mouseResp.RT, my.mouseResp.clicked_name, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, my.mainTrials.thisRepN, my.mainTrials.thisTrialN, my.mainTrials.thisN, my.mainTrials.thisIndex, my.mainTrials.ran, my.mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , 0.13802083333333334, -0.044270833333333336, 1, 0, 0, 6.734000000000002, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.13802083333333334, -0.014322916666666666, 1, 0, 0, 1.068000000000005, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.3385416666666667, -0.006510416666666667, 1, 0, 0, 1.017000000000003, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.38671875, 0.0078125, 1, 0, 0, 0.9159999999999968, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.11848958333333333, 0.016927083333333332, 1, 0, 0, 0.8170000000000002, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.27593818984547464, 0.0695364238410596, 1, 0, 0, 115.83499999999998, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.11479028697571744, 0.012141280353200883, 1, 0, 0, 1.1829999999999927, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.39293598233995586, -0.0011037527593818985, 1, 0, 0, 1.6340000000000146, my.targImage, 1, 0, 8, 7, 1, 7, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, 1, 0, 8, 7, 1, 7, 1, 0.375, n, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.375, n, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.12141280353200883, 0.018763796909492272, 1, 0, 0, 2.068000000000012, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.3509933774834437, 0.0033112582781456954, 1, 0, 0, 1.9010000000000105, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.3995584988962472, 0.01434878587196468, 1, 0, 0, 1.1359999999999957, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.11699779249448124, 0.023178807947019868, 1, 0, 0, 0.9629999999999939, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.3686534216335541, 0.005518763796909493, 1, 0, 0, 1.035000000000025, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.36644591611479027, -0.0033112582781456954, 1, 0, 0, 3.516999999999996, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.13245033112582782, 0.009933774834437087, 1, 0, 0, 0.9330000000000211, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.12362030905077263, 0.00772626931567329, 1, 0, 0, 0.46699999999998454, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.12362030905077263, 0.00772626931567329, 1, 0, 0, 0.46699999999998454, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.34216335540838855, 0.018763796909492272, 1, 0, 0, 1.3340000000000032, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.11258278145695365, -0.0011037527593818985, 1, 0, 0, 1.0339999999999918, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.38631346578366443, 0.018763796909492272, 1, 0, 0, 1.5849999999999795, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.11258278145695365, -0.0011037527593818985, 1, 0, 0, 0.9509999999999934, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.3841059602649007, 0.05187637969094923, 1, 0, 0, 1.016999999999996, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.3509933774834437, -0.023178807947019868, 1, 0, 0, 0.9839999999999804, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.11037527593818984, 0.009933774834437087, 1, 0, 0, 0.9830000000000041, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.12362030905077263, 0.009933774834437087, 1, 0, 0, 0.9169999999999732, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , -0.12362030905077263, 0.009933774834437087, 1, 0, 0, 0.5459999999999923, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
, 0, , 0.09050772626931568, 0.005518763796909493, 1, 0, 0, 0.9329999999999927, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.9998, -0.375, c, 1, 0, 40, 36, 1, 39, 2.9998, -0.375, c, sfsdfsaf, 001, Fri Jul 20 2018 21:39:43 GMT+0200 (CEST), choiceRTT, 60
