keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.037962963,-0.24537037,1,0,0,2.8737,square_button,1,1.5737,space,8.7327,0,0,0,8,1,1.3,images/target_square.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,,,,,,,,,,,,,
c,0,,,,,,,,,1.6154,space,1.8072,0,1,1,4,1,1.5,images/target_plus.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,3.1154,,,,,,,,,,,,
v,1,,,,,,,,,1.0995,space,1.4475,0,2,2,2,1,1.5,images/target_square.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.5995,,,,,,,,,,,,
c,1,,,,,,,,,1.4968,space,2.9357,0,3,3,6,1,1.5,images/target_cross.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.9968,,,,,,,,,,,,
c,1,,,,,,,,,0.9669,space,0.995,0,4,4,3,1,1.3,images/target_cross.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.2669,,,,,,,,,,,,
b,1,,,,,,,,,1.1384,space,0.78,0,5,5,7,1,1.1,images/target_plus.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.2384,,,,,,,,,,,,
c,1,,,,,,,,,0.8574,space,0.8359,0,6,6,0,1,1.1,images/target_cross.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,1.9574,,,,,,,,,,,,
b,0,,,,,,,,,0.6945,space,2.6458,0,7,7,5,1,1.1,images/target_square.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,1.7945,,,,,,,,,,,,
b,1,,,,,,,,,0.9198,space,1.3927,0,8,8,1,1,1.3,images/target_plus.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.2198,,,,,,,,,,,,
v,1,,,,,,,,,1.0803,,,,,,,,1.1,images/target_square.jpg,sg,001,2023-05-27_16h26.07.346,choiceRTT,2021.2.3,Win32,57.03205201,2.1803,space,2.7686,0.037962963,-0.24537037,0,0,0,0,0,0,5,1
