my.response.keys, my.response.corr, my.response.rt, my.mouseResp.x, my.mouseResp.y, my.mouseResp.leftButton, my.mouseResp.midButton, my.mouseResp.rightButton, my.mouseResp.RT, my.mouseResp.clicked_name, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate, my.practiceTrials.thisRepN, my.practiceTrials.thisTrialN, my.practiceTrials.thisN, my.practiceTrials.thisIndex, my.practiceTrials.ran, my.practiceTrials.order, isi, xPos, corrAns, my.mainTrials.thisRepN, my.mainTrials.thisTrialN, my.mainTrials.thisN, my.mainTrials.thisIndex, my.mainTrials.ran, my.mainTrials.order, isi, xPos, corrAns, participant, session, date, expName, frameRate
, 0, , 0.3779296875, -0.013671875, 1, 0, 0, 4.899999999999999, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.197265625, -0.0234375, 1, 0, 0, 0.6000000000000014, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.0380859375, -0.0029296875, 1, 0, 0, 0.5319999999999965, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.3515625, -0.0009765625, 1, 0, 0, 0.5649999999999977, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.3515625, -0.0009765625, 1, 0, 0, 0.36699999999999733, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.130859375, 0.005859375, 1, 0, 0, 0.7650000000000006, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.361328125, 0.0087890625, 1, 0, 0, 0.7379999999999995, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.1396484375, -0.0048828125, 1, 0, 0, 0.7319999999999922, my.targImage, 1, 0, 8, 2, 1, 7, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, 1, 0, 8, 2, 1, 7, 1, 0.125, b, undefined, undefined, undefined, undefined, undefined, undefined, 1, 0.125, b, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.0986328125, -0.02734375, 1, 0, 0, 0.4339999999999975, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.1376953125, 0.0048828125, 1, 0, 0, 0.8320000000000078, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.3212890625, -0.021484375, 1, 0, 0, 0.8329999999999984, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.0810546875, 0.0048828125, 1, 0, 0, 1.164999999999992, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.37890625, 0, 1, 0, 0, 1.0010000000000048, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.3447265625, 0.02734375, 1, 0, 0, 0.5990000000000038, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.1728515625, 0.0048828125, 1, 0, 0, 0.9329999999999927, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.138671875, -0.001953125, 1, 0, 0, 0.4339999999999975, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.3125, -0.0185546875, 1, 0, 0, 1.1340000000000003, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , -0.10546875, -0.001953125, 1, 0, 0, 0.7680000000000007, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
, 0, , 0.34765625, 0.0166015625, 1, 0, 0, 1.1659999999999968, my.targImage, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60, undefined, undefined, undefined, undefined, undefined, undefined, 2.3332, 0.375, n, 1, 0, 40, 27, 1, 39, 2.3332, 0.375, n, sher, 001, Fri Jul 27 2018 10:23:53 GMT+0300 (RTZ 2 (зима)), choiceRTT, 60
