response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.16875,0.034375,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,-0.353125,0.002083333,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,0.115625,0.008333333,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,-0.11875,0.004166667,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,0.29375,0.028125,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,-0.315625,-0.00625,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,0.364583333,-0.023958333,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,0.158333333,0.002083333,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,,,,,,
,0,0.089583333,0.00625,1,0,0,targImage,,,,,,,1.8888,0.125,b,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,1,0,40,18,1,39
,0,0.385416667,-0.03125,1,0,0,targImage,,,,,,,1.8888,0.375,n,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,1,0,40,19,1,39
,0,-0.316666667,-0.020833333,1,0,0,targImage,,,,,,,1.8888,-0.375,c,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,1,0,40,16,1,39
,0,0.1125,0.002083333,1,0,0,targImage,,,,,,,2.3332,0.125,b,sldfkj,001,2019-04-05_16h00.51.157,choiceRTT,3.0.3,60,1,0,40,26,1,39
