keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,moveOnKeys.rt,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,4.3168,,,,,,,,2.8168,,0,0,0,2,1,1.5,images/target_square.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,,,,,,,,,,,,,
v,1,6.352,,,,,,,,5.252,space,0,1,1,5,1,1.1,images/target_square.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,2.9563,,,,,,,,,,,,
c,0,3.8754,,,,,,,,2.3754,space,0,2,2,4,1,1.5,images/target_plus.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,1.8323,,,,,,,,,,,,
b,1,3.8101,,,,,,,,2.7101,space,0,3,3,7,1,1.1,images/target_plus.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,1.7889,,,,,,,,,,,,
v,1,3.1055,,,,,,,,1.8055,space,0,4,4,8,1,1.3,images/target_square.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,1.709,,,,,,,,,,,,
c,1,5.3517,,,,,,,,4.0517,space,0,5,5,3,1,1.3,images/target_cross.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,1.0396,,,,,,,,,,,,
c,1,2.6529,,,,,,,,1.1529,space,0,6,6,6,1,1.5,images/target_cross.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,0.9682,,,,,,,,,,,,
c,1,2.4295,,,,,,,,1.3295,space,0,7,7,0,1,1.1,images/target_cross.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,0.5551,,,,,,,,,,,,
b,1,3.8211,,,,,,,,2.5211,space,0,8,8,1,1,1.3,images/target_plus.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,0.9222,,,,,,,,,,,,
v,1,3.5118,,,,,,,,2.2118,,,,,,,1.3,images/target_square.jpg,sofia,001,2022-10-03_15h01.41.709,choiceRTT,2021.2.3,Win32,60.19382411,,space,2.1742,0.304629714,0.218518522,0,0,0,0,0,0,8,1
