keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,3.2557,,,,,,,,1.9557,v,8.6306,0,0,0,1,1,1.3,images/target_plus.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
c,1,2.3139,,,,,,,,0.8139,space,2.4882,0,1,1,6,1,1.5,images/target_cross.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
c,0,2.5641,,,,,,,,1.4641,space,0.5489,0,2,2,7,1,1.1,images/target_plus.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
v,1,2.6066,,,,,,,,1.3066,space,0.4195,0,3,3,8,1,1.3,images/target_square.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
b,1,2.1591,,,,,,,,0.6591,space,0.9316,0,4,4,4,1,1.5,images/target_plus.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
v,1,3.8804,,,,,,,,2.3804,space,0.4876,0,5,5,2,1,1.5,images/target_square.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
c,1,3.307,,,,,,,,2.007,space,3.1029,0,6,6,3,1,1.3,images/target_cross.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
v,1,2.4968,,,,,,,,1.3968,space,1.9011,0,7,7,5,1,1.1,images/target_square.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
c,1,2.2122,,,,,,,,1.1122,space,0.472,0,8,8,0,1,1.1,images/target_cross.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,,,,,,,,,,,,
v,1,3.19,,,,,,,,1.89,,,,,,,,1.3,images/target_square.jpg,tanja,001,2023-01-18_14h11.31.830,choiceRTT,2021.2.3,MacIntel,59.99160118,space,3.2641,0.074191149,-0.320721707,0,0,0,0,0,0,8,1
