response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.284722222,0.0703125,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,-0.284722222,0.0703125,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,-0.170138889,0.055555556,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,0.368923611,0.019965278,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,0.074652778,0.014756944,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,-0.077256944,-0.000868056,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,0.450520833,0.021701389,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,0.141493056,-0.006076389,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,,,,,,
,0,0.099826389,-0.018229167,1,0,0,targImage,,,,,,,2.3332,0.125,b,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.134548611,-0.0234375,1,0,0,targImage,,,,,,,2.7776,-0.125,v,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,-0.4140625,-0.032118056,1,0,0,targImage,,,,,,,2.9998,-0.375,c,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,0.327256944,-0.008680556,1,0,0,targImage,,,,,,,2.3332,0.375,n,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.284722222,-0.010416667,1,0,0,targImage,,,,,,,2.7776,-0.375,c,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.375868056,0.013020833,1,0,0,targImage,,,,,,,1.6666,0.375,n,testparticipant,001,2020-04-14_10h24.10.354,choiceRTT,3.1.3,60,1,0,40,15,1,39
