keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,1,2.1756,,,,,,,,1.0756,space,1.4203,0,0,0,5,1,1.1,images/target_square.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
c,1,2.2902,,,,,,,,0.7902,space,1.012,0,1,1,6,1,1.5,images/target_cross.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
v,1,2.2452,,,,,,,,0.7452,space,0.9818,0,2,2,2,1,1.5,images/target_square.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,2.2569,,,,,,,,1.1569,space,0.9685,0,3,3,7,1,1.1,images/target_plus.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
c,1,1.8205,,,,,,,,0.7205,space,0.8679,0,4,4,0,1,1.1,images/target_cross.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,2.923,,,,,,,,1.423,space,0.849,0,5,5,4,1,1.5,images/target_plus.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
c,1,2.0223,,,,,,,,0.7223,space,0.7655,0,6,6,3,1,1.3,images/target_cross.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,2.4873,,,,,,,,1.1873,space,0.5976,0,7,7,1,1,1.3,images/target_plus.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
v,1,2.0378,,,,,,,,0.7378,space,0.8485,0,8,8,8,1,1.3,images/target_square.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,,,,,,,,,,,,
b,1,1.9853,,,,,,,,0.8853,,,,,,,,1.1,images/target_plus.jpg,testwpj2,001,2023-04-09_18h41.19.016,choiceRTT,2021.2.3,MacIntel,60.04202942,space,1.7708,-0.188282539,-0.499982639,0,0,0,0,0,0,7,1
