participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,0,2.798,,,,,,,,,1.498,space,12.785,,0,0,0,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.093,,,,,,,,,0.993,space,9.29,,0,1,1,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.235,,,,,,,,,0.935,space,10.432,,0,2,2,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,1.728,,,,,,,,,0.628,space,5.217,,0,3,3,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,1.845,,,,,,,,,0.745,space,3.151,,0,4,4,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,2.091,,,,,,,,,0.591,space,3.908,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.272,,,,,,,,,0.772,space,2.823,,0,6,6,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.476,,,,,,,,,1.176,space,2.593,,0,7,7,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.22,,,,,,,,,0.72,space,2.763,,0,8,8,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,,,,,,,,,,,,,,,,,,,,,,,space,9.045,,0.123522459,-0.140661939,0,0,0,,,,,
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,0,5.819,,,,,,,,,4.519,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,0,0,3,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,0,2.023,,,,,,,,,0.923,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,1,1,7,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.085,,,,,,,,,0.985,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,2,2,0,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.438,,,,,,,,,0.938,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,3,3,6,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,2.322,,,,,,,,,1.022,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,4,4,1,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,1.927,,,,,,,,,0.827,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,5,5,5,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.419,,,,,,,,,0.919,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,6,6,2,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.242,,,,,,,,,0.942,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,7,7,8,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,2.081,,,,,,,,,0.581,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,8,8,4,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,2.656,,,,,,,,,1.156,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,0,9,4,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,0,1.927,,,,,,,,,0.827,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,1,10,7,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,0,0.187,,,,,,,,,-0.913,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,1,2,11,0,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.139,,,,,,,,,1.039,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,3,12,5,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,2.659,,,,,,,,,1.159,,,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,1,4,13,6,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.377,,,,,,,,,1.077,,,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,5,14,8,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,c,1,3.296,,,,,,,,,1.996,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,6,15,3,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,v,1,2.333,,,,,,,,,0.833,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,1,7,16,2,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,b,1,1.963,,,,,,,,,0.663,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,1,8,17,1,1
tim,001,2023-11-13_19h50.32.473,choiceRTT,2023.1.3,MacIntel,20.40816327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
