keyResp.keys,keyResp.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,correctMouseResp,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
,0,0.016927083,-0.234375,1,0,0,3.3634,square_button,0,2.2634,space,1.1057,0,0,0,0,1,1.1,images/target_cross.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,0.197916667,-0.234375,1,0,0,1.1678,plus_button,0,-0.3322,space,0.6426,0,1,1,6,1,1.5,images/target_cross.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.029947917,-0.225260417,1,0,0,1.6908,square_button,1,0.1908,space,0.8982,0,2,2,2,1,1.5,images/target_square.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.19921875,-0.243489583,1,0,0,1.2109,cross_button,0,0.1109,space,0.4073,0,3,3,5,1,1.1,images/target_square.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.19921875,-0.243489583,1,0,0,1.0742,cross_button,0,-0.4258,space,0.1732,0,4,4,4,1,1.5,images/target_plus.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.033854167,-0.259114583,1,0,0,1.5698,square_button,0,0.4698,space,0.254,0,5,5,7,1,1.1,images/target_plus.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,0.25390625,-0.255208333,1,0,0,1.0134,plus_button,0,-0.2866,space,0.2582,0,6,6,3,1,1.3,images/target_cross.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.0078125,-0.234375,1,0,0,1.1125,square_button,0,-0.1875,space,0.2554,0,7,7,1,1,1.3,images/target_plus.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,-0.192708333,-0.209635417,1,0,0,1.088,cross_button,0,-0.212,space,0.2931,0,8,8,8,1,1.3,images/target_square.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,,,,,
,0,0.2109375,-0.216145833,1,0,0,1.3337,plus_button,0,0.2337,,,,,,,,1.1,images/target_cross.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,0,-0.229166667,1,0,0,0,0,0,0,1
,0,-0.006510417,-0.229166667,1,0,0,2.7736,square_button,1,1.6736,,,,,,,,1.1,images/target_square.jpg,unw,001,2022-06-09_15h52.41.701,choiceRTT,2021.2.3,Win32,61.05751618,,,,,,,0,1,1,5,1
