response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.086028646,-0.01500434,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,0.10062934,-0.017404514,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,0.411592882,-0.030911458,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,-0.077690972,0.012361111,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,-0.389717882,0.029327257,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,0.347821181,0.091341146,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,0.090564236,-0.03202691,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,-0.393142361,-0.041480035,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,,,,,,
,0,0.305008681,-0.051475694,1,0,0,targImage,,,,,,,1.2222,0.375,n,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,1,0,40,7,1,39
,0,-0.167608507,-0.004257813,1,0,0,targImage,,,,,,,1.4444,-0.125,v,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.332569444,-0.036462674,1,0,0,targImage,,,,,,,1.6666,-0.375,c,v,001,2020-12-30_21h42.42.104,choiceRTT,3.1.3,60,1,0,40,12,1,39
