participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.84,,,,,,,,,0.34,,0,0,0,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.702,,,,,,,,,0.602,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,0,0.993,,,,,,,,,-0.307,,0,2,2,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,0,2.318,,,,,,,,,1.218,,0,3,3,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,2.304,,,,,,,,,0.804,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.86,,,,,,,,,0.56,,0,5,5,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,0,1.941,,,,,,,,,0.641,,0,6,6,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.758,,,,,,,,,0.658,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,2.146,0.089,,,,,,,,0.646,,0,8,8,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,space,6.952,,0.667777778,-0.26,0,0,0,,,,,
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,2.383,,,,,,,,,0.883,,,,,,,1.5,images/target_cross.jpg,,,,,,,,,0,0,0,6,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,2.221,,,,,,,,,0.721,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,1,1,4,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.754,,,,,,,,,0.454,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,2,2,3,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,2.004,,,,,,,,,0.504,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,3,3,2,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.853,,,,,,,,,0.553,,,,,,,1.3,images/target_square.jpg,,,,,,,,,0,4,4,8,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.691,,,,,,,,,0.591,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,5,5,5,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.871,,,,,,,,,0.571,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,6,6,1,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.841,,,,,,,,,0.741,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,7,7,7,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,1.619,,,,,,,,,0.519,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,8,8,0,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,2.356,,,,,,,,,0.856,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,1,0,9,4,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,c,1,2.037,,,,,,,,,0.737,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,1,1,10,3,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.723,,,,,,,,,0.623,,,,,,,1.1,images/target_square.jpg,,,,,,,,,1,2,11,5,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,v,1,1.79,,,,,,,,,0.49,,,,,,,1.3,images/target_square.jpg,,,,,,,,,1,3,12,8,1
v,001,2023-12-03_01h04.18.495,choiceRTT,2023.1.3,MacIntel,58.82352941,b,1,1.771,,,,,,,,,0.671,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,1,4,13,7,1
