keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
v,0,3.2381,,,,,,,,1.9381,space,2.3223,0,0,0,3,1,1.3,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
v,1,2.7093,,,,,,,,1.6093,space,0.8518,0,1,1,5,1,1.1,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,0,3.4023,,,,,,,,1.9023,space,0.5232,0,2,2,4,1,1.5,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
v,1,3.5298,,,,,,,,2.2298,space,0.5097,0,3,3,8,1,1.3,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
v,1,3.0438,,,,,,,,1.5438,space,0.5795,0,4,4,2,1,1.5,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,0,1.9257,,,,,,,,0.6257,space,0.602,0,5,5,1,1,1.3,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,1,2.4468,,,,,,,,0.9468,space,0.317,0,6,6,6,1,1.5,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,1,1.4937,,,,,,,,0.3937,space,0.4663,0,7,7,0,1,1.1,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,0,1.4614,,,,,,,,0.3614,space,0.6706,0,8,8,7,1,1.1,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,,,,,
c,0,3.2279,,,,,,,,1.9279,,,,,,,,1.3,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,0.002777778,-0.259259259,1,0,0,0,0,0,8,1
c,0,0.2896,,,,,,,,-0.8104,,,,,,,,1.1,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,1,1,7,1
c,0,2.1962,,,,,,,,0.6962,,,,,,,,1.5,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,2,2,4,1
c,1,1.9604,,,,,,,,0.4604,,,,,,,,1.5,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,3,3,6,1
c,0,2.0211,,,,,,,,0.7211,,,,,,,,1.3,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,4,4,1,1
v,1,3.5443,,,,,,,,2.0443,,,,,,,,1.5,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,5,5,2,1
c,1,1.9095,,,,,,,,0.6095,,,,,,,,1.3,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,6,6,3,1
v,1,2.4328,,,,,,,,1.3328,,,,,,,,1.1,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,7,7,5,1
c,1,2.2017,,,,,,,,1.1017,,,,,,,,1.1,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,0,8,8,0,1
c,1,2.0821,,,,,,,,0.5821,,,,,,,,1.5,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,0,9,6,1
b,1,2.0949,,,,,,,,0.5949,,,,,,,,1.5,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,1,10,4,1
c,0,1.7551,,,,,,,,0.6551,,,,,,,,1.1,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,2,11,7,1
v,1,1.9907,,,,,,,,0.8907,,,,,,,,1.1,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,3,12,5,1
c,1,1.8596,,,,,,,,0.5596,,,,,,,,1.3,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,4,13,3,1
b,1,1.7597,,,,,,,,0.4597,,,,,,,,1.3,images/target_plus.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,5,14,1,1
v,1,2.6286,,,,,,,,1.1286,,,,,,,,1.5,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,6,15,2,1
v,1,1.8926,,,,,,,,0.5926,,,,,,,,1.3,images/target_square.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,7,16,8,1
c,1,1.9183,,,,,,,,0.8183,,,,,,,,1.1,images/target_cross.jpg,vinit ,001,2022-09-07_15h21.39.255,choiceRTT,2021.2.3,Win32,165.5903295,,,,,,,1,8,17,0,1
