response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.415740873,0.047222215,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,0.126851867,0.017592585,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,-0.115740729,0.016666659,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,0.341666798,0.003703696,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,0.20833335,-0.002777785,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,-0.13148147,-0.003703711,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,-0.386111104,-0.010185193,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,-0.386111104,-0.010185193,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,,,,,,
,0,-0.327777769,-0.005555563,1,0,0,targImage,,,,,,,1.6666,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,0.352777796,0.012962956,1,0,0,targImage,,,,,,,1,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,0.130555571,0.009259252,1,0,0,targImage,,,,,,,2.111,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,22,1,39
,0,-0.371296289,-0.025925934,1,0,0,targImage,,,,,,,2.7776,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.32222224,0.01203703,1,0,0,targImage,,,,,,,1.8888,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,0.148148164,0.012962956,1,0,0,targImage,,,,,,,1.4444,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,-0.32314814,0.00277777,1,0,0,targImage,,,,,,,2.111,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.130555544,0.01203703,1,0,0,targImage,,,,,,,1.2222,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.327777769,0.03703703,1,0,0,targImage,,,,,,,2.5554,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,0.32222224,-7.4558E-09,1,0,0,targImage,,,,,,,1.4444,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,11,1,39
,0,0.164814831,-0.009259267,1,0,0,targImage,,,,,,,1,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.357407426,0.016666659,1,0,0,targImage,,,,,,,2.9998,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,0.150000015,0.012962956,1,0,0,targImage,,,,,,,2.9998,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,0.092592607,-0.007407415,1,0,0,targImage,,,,,,,1.2222,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.103703692,0.00277777,1,0,0,targImage,,,,,,,2.3332,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,-0.086111043,0.004629622,1,0,0,targImage,,,,,,,1,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.083333321,0.011111104,1,0,0,targImage,,,,,,,1.8888,-0.125,v,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.3314815,0.001851844,1,0,0,targImage,,,,,,,2.5554,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,0.143518534,0.005555548,1,0,0,targImage,,,,,,,2.3332,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,0.146296312,0.0074074,1,0,0,targImage,,,,,,,1.6666,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.109259274,0.012962956,1,0,0,targImage,,,,,,,2.5554,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.112037052,0.011111104,1,0,0,targImage,,,,,,,1.8888,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.279629647,-0.012037045,1,0,0,targImage,,,,,,,2.3332,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,27,1,39
,0,-0.374999992,0.011111104,1,0,0,targImage,,,,,,,1.8888,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,-0.330555547,-0.020370378,1,0,0,targImage,,,,,,,1.4444,-0.375,c,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,8,1,39
,0,0.128703719,0.000925918,1,0,0,targImage,,,,,,,2.7776,0.125,b,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,34,1,39
,0,0.320370388,0.020370363,1,0,0,targImage,,,,,,,1.6666,0.375,n,walter,001,2020-02-18_07h24.13.679,choiceRTT,3.1.3,60,1,0,40,15,1,39
