participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,v,1,4.008,,,,,,,,,2.708,space,1.344,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,c,1,2.404,,,,,,,,,1.104,space,0.811,,0,1,1,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,b,1,1.84,,,,,,,,,0.74,space,0.431,,0,2,2,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,c,1,2.675,,,,,,,,,1.175,space,0.469,,0,3,3,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,v,1,2.757,,,,,,,,,1.257,space,0.608,,0,4,4,2,1,1.5,images/target_square.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,c,0,2.471,,,,,,,,,0.971,space,0.478,,0,5,5,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,c,0,3.004,,,,,,,,,1.704,space,0.728,,0,6,6,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,c,1,2.926,,,,,,,,,1.826,space,0.862,,0,7,7,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,
woojin,001,2024-01-23_02h36.30.493,choiceRTT,2023.1.3,Win32,60.0240096,v,1,3.068,,,,,,,,,1.968,space,3.285,,0,8,8,5,1,1.1,images/target_square.jpg,,,,,,,,,,,
