keyResp.keys,keyResp.corr,keyResp.rt,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
c,0,1.0999,,,,,,,,-0.2001,space,6.0447,0,0,0,1,1,1.3,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,0,3.2019,,,,,,,,1.7019,space,3.195,0,1,1,4,1,1.5,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,0,0.7805,,,,,,,,-0.7195,space,0.2948,0,2,2,2,1,1.5,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,0.4282,,,,,,,,-0.8718,space,0.3152,0,3,3,3,1,1.3,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,0,0.4536,,,,,,,,-0.8464,space,0.3623,0,4,4,8,1,1.3,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,0.3924,,,,,,,,-0.7076,space,0.3782,0,5,5,0,1,1.1,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,0,0.412900001,,,,,,,,-0.687099999,space,0.363,0,6,6,5,1,1.1,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,0,0.3787,,,,,,,,-0.7213,space,0.3035,0,7,7,7,1,1.1,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,0.3263,,,,,,,,-1.1737,space,0.3056,0,8,8,6,1,1.5,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,,,,,
c,1,0.3074,,,,,,,,-0.7926,,,,,,,,1.1,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,space,0.5082,-0.126851824,-0.087037051,0,0,0,0,0,0,0,1
c,0,0.9317,,,,,,,,-0.1683,,,,,,,,1.1,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,1,1,7,1
c,0,0.7901,,,,,,,,-0.5099,,,,,,,,1.3,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,2,2,1,1
c,0,0.791299999,,,,,,,,-0.508700001,,,,,,,,1.3,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,3,3,8,1
c,0,0.6228,,,,,,,,-0.8772,,,,,,,,1.5,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,4,4,4,1
c,1,0.4571,,,,,,,,-1.0429,,,,,,,,1.5,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,5,5,6,1
c,0,0.7387,,,,,,,,-0.7613,,,,,,,,1.5,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,6,6,2,1
c,1,0.6292,,,,,,,,-0.6708,,,,,,,,1.3,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,7,7,3,1
c,0,1.168400001,,,,,,,,0.068400001,,,,,,,,1.1,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,0,8,8,5,1
c,0,1.1345,,,,,,,,-0.3655,,,,,,,,1.5,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,0,9,2,1
c,1,0.6147,,,,,,,,-0.4853,,,,,,,,1.1,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,1,10,0,1
c,0,0.1698,,,,,,,,-0.9302,,,,,,,,1.1,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,2,11,7,1
c,1,0.1957,,,,,,,,-1.1043,,,,,,,,1.3,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,3,12,3,1
c,0,0.1611,,,,,,,,-1.3389,,,,,,,,1.5,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,4,13,4,1
c,0,0.1258,,,,,,,,-1.1742,,,,,,,,1.3,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,5,14,8,1
c,1,0.3247,,,,,,,,-1.1753,,,,,,,,1.5,images/target_cross.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,6,15,6,1
c,0,0.218299999,,,,,,,,-0.881700001,,,,,,,,1.1,images/target_square.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,7,16,5,1
c,0,0.24,,,,,,,,-1.06,,,,,,,,1.3,images/target_plus.jpg,xdfghg,001,2022-08-03_15h33.42.101,choiceRTT,2021.2.3,Win32,59.95203837,,,,,,,,1,8,17,1,1
