response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.090497504,-0.018706597,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,0.310961914,-0.013764106,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,0.147241211,-0.045757378,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,0.187299262,-0.030612522,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,-0.341756185,-0.011287435,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,-0.33836263,0.024313694,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,0.369615343,-0.009925673,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,-0.123410373,-0.009670681,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,,,,,,
,0,-0.286477322,-0.075043403,1,0,0,targImage,,,,,,,2.3332,-0.375,c,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,1,0,40,24,1,39
,0,-0.107158746,0.013937717,1,0,0,targImage,,,,,,,2.3332,-0.125,v,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,1,0,40,25,1,39
,0,0.310747613,-0.00696072,1,0,0,targImage,,,,,,,2.5554,0.375,n,xx,001,2019-04-10_21h08.38.338,choiceRTT,3.0.3,60,1,0,40,31,1,39
