participant,session,date,expName,psychopyVersion,OS,frameRate,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.time,mouseResp.clicked_name,trialRespTimes,moveOnKeys.keys,moveOnKeys.rt,moveOnKeys.duration,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeLoop.ran,onsetTime,thisImage,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,ExptLoop.thisRepN,ExptLoop.thisTrialN,ExptLoop.thisN,ExptLoop.thisIndex,ExptLoop.ran
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,0,2.6923,,,,,,,,,1.3923,space,8.4483,,0,0,0,8,1,1.3,images/target_square.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,0,1.7239,,,,,,,,,0.6239,space,3.7708,,0,1,1,5,1,1.1,images/target_square.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.4264,,,,,,,,,1.1264,space,10.5558,,0,2,2,1,1,1.3,images/target_plus.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.6573,,,,,,,,,1.1573,space,2.8681,,0,3,3,2,1,1.5,images/target_square.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,2.3074,,,,,,,,,0.8074,space,0.9882,,0,4,4,6,1,1.5,images/target_cross.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,1.7188,,,,,,,,,0.6188,space,3.0552,,0,5,5,0,1,1.1,images/target_cross.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.7603,,,,,,,,,1.6603,space,0.8346,,0,6,6,7,1,1.1,images/target_plus.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.6429,,,,,,,,,1.1429,space,2.2267,,0,7,7,4,1,1.5,images/target_plus.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,3.3046,,,,,,,,,2.0046,space,1.5372,,0,8,8,3,1,1.3,images/target_cross.jpg,,,,,,,,,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,space,2.4271,,0.15,0.007407407,0,0,0,,,,,
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.1442,,,,,,,,,0.8442,,,,,,,,,1.3,images/target_plus.jpg,,,,,,,,,0,0,0,1,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,2.5357,,,,,,,,,1.4357,,,,,,,,,1.1,images/target_cross.jpg,,,,,,,,,0,1,1,0,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,1,2.0087,,,,,,,,,0.9087,,,,,,,,,1.1,images/target_plus.jpg,,,,,,,,,0,2,2,7,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,v,0,2.2167,,,,,,,,,0.7167,,,,,,,,,1.5,images/target_plus.jpg,,,,,,,,,0,3,3,4,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,c,1,1.9034,,,,,,,,,0.6034,,,,,,,,,1.3,images/target_cross.jpg,,,,,,,,,0,4,4,3,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,b,0,1.6481,,,,,,,,,0.5481,,,,,,,,,1.1,images/target_square.jpg,,,,,,,,,0,5,5,5,1
xxx,001,2024-02-16_12h33.14.374,choiceRTT,2023.1.3,Win32,59.52380952,v,1,2.2601,,,,,,,,,0.7601,,,,,,,,,1.5,images/target_square.jpg,,,,,,,,,0,6,6,2,1
