response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,0.346296296,0.008333333,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,0.346296296,0.008333333,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,-0.088888889,-0.008333333,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,0.07037037,0.033333333,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,-0.422222222,-0.009259259,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,0.085185185,0.014814815,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,-0.081481481,-0.013888889,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,-0.359259259,-0.023148148,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,,,,,,
,0,-0.359259259,-0.030555556,1,0,0,targImage,,,,,,,1.6666,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,12,1,39
,0,-0.137962963,0.008333333,1,0,0,targImage,,,,,,,1.8888,-0.125,v,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,-0.355555556,-0.006481481,1,0,0,targImage,,,,,,,1.8888,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.419444444,-0.028703704,1,0,0,targImage,,,,,,,2.7776,0.375,n,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,35,1,39
,0,0.334259259,-0.018518519,1,0,0,targImage,,,,,,,1.8888,0.375,n,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,19,1,39
,0,-0.399074074,0.022222222,1,0,0,targImage,,,,,,,2.111,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,-0.359259259,0.018518519,1,0,0,targImage,,,,,,,2.7776,-0.375,c,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,32,1,39
,0,0.409259259,-0.018518519,1,0,0,targImage,,,,,,,2.9998,0.375,n,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,39,1,39
,0,-0.132407407,-0.005555556,1,0,0,targImage,,,,,,,2.3332,-0.125,v,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,25,1,39
,0,0.051851852,0.024074074,1,0,0,targImage,,,,,,,1.4444,0.125,b,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,10,1,39
,0,0.075925926,0.000925926,1,0,0,targImage,,,,,,,1.6666,0.125,b,zw,001,2020-09-30_10h31.13.912,choiceRTT,3.1.3,60,1,0,40,14,1,39
