response.keys,response.corr,mouseResp.x,mouseResp.y,mouseResp.leftButton,mouseResp.midButton,mouseResp.rightButton,mouseResp.clicked_name,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,practiceTrials.order,isi,xPos,corrAns,participant,session,date,expName,psychopyVersion,frameRate,mainTrials.thisRepN,mainTrials.thisTrialN,mainTrials.thisN,mainTrials.thisIndex,mainTrials.ran,mainTrials.order
,0,-0.347222222,-0.025925926,1,0,0,targImage,1,0,8,0,1,7,1,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,0.390740741,0.026851852,1,0,0,targImage,1,0,8,3,1,7,1,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,-0.075925926,-0.055555556,1,0,0,targImage,1,0,8,5,1,7,1,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,-0.391666667,-0.037962963,1,0,0,targImage,1,0,8,4,1,7,1,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,0.200925926,-0.005555556,1,0,0,targImage,1,0,8,6,1,7,1,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,0.102777778,-0.034259259,1,0,0,targImage,1,0,8,2,1,7,1,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,0.417592593,-0.008333333,1,0,0,targImage,1,0,8,7,1,7,1,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,-0.133333333,-0.015740741,1,0,0,targImage,1,0,8,1,1,7,1,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,,,,,,
,0,0.133333333,-0.02037037,1,0,0,targImage,,,,,,,1.2222,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,6,1,39
,0,-0.214814815,-0.030555556,1,0,0,targImage,,,,,,,1.8888,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,17,1,39
,0,0.075,-0.081481481,1,0,0,targImage,,,,,,,1.8888,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,18,1,39
,0,0.388888889,-0.015740741,1,0,0,targImage,,,,,,,1.6666,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,15,1,39
,0,-0.111111111,-0.056481481,1,0,0,targImage,,,,,,,1,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,1,1,39
,0,-0.465740741,-0.043518519,1,0,0,targImage,,,,,,,1.2222,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,4,1,39
,0,0.217592593,0.042592593,1,0,0,targImage,,,,,,,2.5554,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,30,1,39
,0,0.222222222,0.083333333,1,0,0,targImage,,,,,,,2.9998,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,38,1,39
,0,-0.310185185,-0.050925926,1,0,0,targImage,,,,,,,1.8888,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,16,1,39
,0,0.109259259,-0.010185185,1,0,0,targImage,,,,,,,1.6666,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,14,1,39
,0,0.099074074,-0.061111111,1,0,0,targImage,,,,,,,1,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,2,1,39
,0,0.331481481,0.001851852,1,0,0,targImage,,,,,,,1,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,3,1,39
,0,-0.362962963,-0.019444444,1,0,0,targImage,,,,,,,2.111,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,20,1,39
,0,0.378703704,0.007407407,1,0,0,targImage,,,,,,,2.111,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,23,1,39
,0,0.147222222,-0.011111111,1,0,0,targImage,,,,,,,2.3332,0.125,b,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,26,1,39
,0,-0.156481481,-0.04537037,1,0,0,targImage,,,,,,,1.2222,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,5,1,39
,0,-0.155555556,-0.044444444,1,0,0,targImage,,,,,,,2.9998,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,37,1,39
,0,-0.071296296,-0.075,1,0,0,targImage,,,,,,,1.4444,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,9,1,39
,0,-0.153703704,0.005555556,1,0,0,targImage,,,,,,,2.5554,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,29,1,39
,0,-0.09537037,-0.068518519,1,0,0,targImage,,,,,,,2.7776,-0.125,v,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,33,1,39
,0,0.363888889,-0.00462963,1,0,0,targImage,,,,,,,2.5554,0.375,n,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,31,1,39
,0,-0.367592593,-0.061111111,1,0,0,targImage,,,,,,,1,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,0,1,39
,0,-0.432407407,0.016666667,1,0,0,targImage,,,,,,,2.9998,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,36,1,39
,0,-0.356481481,0.025925926,1,0,0,targImage,,,,,,,2.5554,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,28,1,39
,0,-0.34537037,-0.023148148,1,0,0,targImage,,,,,,,2.7776,-0.375,c,zzz,001,2021-12-01_18h03.30.716,choiceRTT,3.1.3,60,1,0,40,32,1,39
